number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_exploration_fraction,params_gamma,params_gradient_steps,params_learning_rate,params_target_update_interval,params_train_freq,state
0,-103.24530039999999,2025-11-06 13:25:57.901468,2025-11-06 13:28:32.275140,0 days 00:02:34.373672,32,50000,0.21523479326240072,0.9368079721004763,4,6.502899153420389e-05,200,3,COMPLETE
1,-114.81992539999999,2025-11-06 13:28:32.275140,2025-11-06 13:30:35.735149,0 days 00:02:03.460009,64,50000,0.35411839942866685,0.9316705300583066,4,5.040938122507606e-05,600,4,COMPLETE
2,66.58919780000001,2025-11-06 13:30:35.735149,2025-11-06 13:41:18.258008,0 days 00:10:42.522859,64,50000,0.20340883735494442,0.9837697556921552,6,0.000798872447185533,300,1,COMPLETE
3,-592.406309,2025-11-06 13:41:18.258008,2025-11-06 13:42:25.985021,0 days 00:01:07.727013,32,150000,0.39834517674421177,0.9637977835660727,4,1.0430573288902392e-05,200,8,COMPLETE
4,-172.1818836,2025-11-06 13:42:25.985281,2025-11-06 13:46:07.651742,0 days 00:03:41.666461,32,200000,0.35657570174667963,0.9415824748301465,4,1.1369810927348477e-05,900,2,COMPLETE
5,-11.908280200000002,2025-11-06 13:46:07.652784,2025-11-06 13:49:26.081429,0 days 00:03:18.428645,128,200000,0.3073392752075077,0.9599098721605851,5,0.00014861525844449484,200,3,COMPLETE
6,-21.6801332,2025-11-06 13:49:26.081429,2025-11-06 13:58:40.129730,0 days 00:09:14.048301,128,100000,0.14880432667332708,0.9663851627744381,5,1.2696683985316926e-05,500,1,COMPLETE
7,-65.76826559999999,2025-11-06 13:58:40.130738,2025-11-06 14:09:22.219839,0 days 00:10:42.089101,64,200000,0.14066678152127698,0.9732092548473639,6,2.7844921016654832e-05,500,1,COMPLETE
8,-48.4308814,2025-11-06 14:09:22.220843,2025-11-06 14:12:21.008176,0 days 00:02:58.787333,128,150000,0.31233498217529043,0.9600323353334909,3,0.000912384101545514,400,3,COMPLETE
9,-115.567534,2025-11-06 14:12:21.008176,2025-11-06 14:32:52.756381,0 days 00:20:31.748205,64,100000,0.32319845624881716,0.9347846820460627,6,4.1402908401568615e-05,1000,1,COMPLETE
