number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_exploration_fraction,params_gamma,params_gradient_steps,params_learning_rate,params_target_update_interval,params_train_freq,state
0,-200.0,2025-11-07 15:27:19.656580,2025-11-07 15:28:26.980545,0 days 00:01:07.323965,64,50000,0.3105285411033698,0.982031146301509,5,0.00028093421702057305,600,6,COMPLETE
1,-116.2,2025-11-07 15:28:26.980545,2025-11-07 15:29:41.045979,0 days 00:01:14.065434,128,100000,0.14260146652096556,0.9854594750652876,4,0.0006409651304034874,300,5,COMPLETE
2,-117.4,2025-11-07 15:29:41.045979,2025-11-07 15:31:07.635475,0 days 00:01:26.589496,64,150000,0.3939258438938078,0.9513617778497236,8,0.000366974891800842,300,7,COMPLETE
3,-200.0,2025-11-07 15:31:07.635475,2025-11-07 15:34:12.095959,0 days 00:03:04.460484,32,50000,0.39308458897119114,0.954707123244819,8,1.6116756496211793e-05,600,3,COMPLETE
4,6.4,2025-11-07 15:34:12.095959,2025-11-07 15:36:45.503109,0 days 00:02:33.407150,64,100000,0.3301655671079663,0.9309240180626999,4,0.0007973031877859456,500,2,COMPLETE
5,-200.0,2025-11-07 15:36:45.503109,2025-11-07 15:38:29.545933,0 days 00:01:44.042824,128,100000,0.3351384311099548,0.9821209365968534,7,2.074894599477886e-05,500,6,COMPLETE
6,-200.0,2025-11-07 15:38:29.545933,2025-11-07 15:41:27.873726,0 days 00:02:58.327793,128,200000,0.2450683744439628,0.9490109494817336,2,1.1973919831391826e-05,200,1,COMPLETE
7,-200.0,2025-11-07 15:41:27.873726,2025-11-07 15:42:03.703134,0 days 00:00:35.829408,64,100000,0.22758563877987925,0.9073971859772442,1,0.00016162768323632113,500,3,COMPLETE
8,-158.2,2025-11-07 15:42:03.704136,2025-11-07 15:47:49.858629,0 days 00:05:46.154493,128,50000,0.15642766016233467,0.9749157333550769,4,0.00016672605444799198,200,1,COMPLETE
9,-158.2,2025-11-07 15:47:49.858629,2025-11-07 15:49:41.258051,0 days 00:01:51.399422,64,150000,0.2793980065054126,0.9613723414957167,6,0.00019061962509947405,200,4,COMPLETE
